primary_name,Customer Type,Period Name,Food Type,Week Name,Total Amount,Slot Timing From,Slot Timing To,city
T Nagar Bazullah Road,Adult,Lunch,NON-VEG,THURSDAY,749,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,VEG,THURSDAY,699,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,NON-VEG,THURSDAY,749,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,VEG,FRIDAY,699,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,NON-VEG,FRIDAY,749,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,VEG,FRIDAY,699,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,NON-VEG,FRIDAY,749,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,VEG,SATURDAY,749,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,NON-VEG,SATURDAY,799,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,VEG,SATURDAY,749,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,NON-VEG,SATURDAY,799,18:30:00,23:00:00,Chennai
